"","...1","id","scientificName","kingdom","vernacularName","individualCount","longitudeDecimal","latitudeDecimal","country","stateProvince","eventDate","eventTime"
"1",1,"99987420@OBS","Aix galericulata","Animalia","Mandarin Duck",1,21.0356,52.2138,"Poland",NA,2015-03-11,23:16:00
"2",2,"99983635@OBS","Grus grus","Animalia","Common Crane",10,22.7926540366,53.1208293805,"Poland",NA,2015-03-10,NA
"3",3,"99983630@OBS","Alces alces","Animalia","Elk",1,22.7942562099,53.1181705482,"Poland",NA,2015-03-10,NA
"4",4,"99983169@OBS","Spinulum annotinum","Plantae","Interrupted Clubmoss",50,22.93,53.01,"Poland",NA,2015-03-10,NA
"5",5,"98611955@OBS","Mergus merganser","Animalia","Common Merganser",2,21.0293,52.2147,"Poland",NA,2015-03-10,15:06:00
"6",6,"98611953@OBS","Sciurus vulgaris","Animalia","Eurasian Red Squirrel",4,21.0303,52.2147,"Poland",NA,2015-03-10,15:05:00
"7",7,"98611951@OBS","Corvus cornix","Animalia","Hooded Crow",2,21.0106,52.2504,"Poland",NA,2015-03-09,12:56:00
"8",8,"98601371@OBS","Aglais urticae","Animalia","Small Tortoiseshell",1,22.9287385932,53.0098379063,"Poland",NA,2015-03-10,NA
"9",9,"98570200@OBS","Sarcoscypha coccinea sl, incl. austriaca","Fungi",NA,1,22.9286026954,53.0151221091,"Poland",NA,2015-03-08,NA
"10",10,"98527237@OBS","Corvus cornix","Animalia","Hooded Crow",1,16.9567,52.4075,"Poland",NA,2015-03-08,11:23:00
"11",11,"98481952@OBS","Leucorrhinia caudalis","Animalia","Lilypad Whiteface",1,22.8,54.2,"Poland",NA,2014-07-14,12:20:00
"12",12,"98481620@OBS","Sympetrum sanguineum","Animalia","Ruddy Darter",1,22.8098206222,54.2252522757,"Poland",NA,2014-07-14,12:18:00
"13",13,"98481529@OBS","Orthetrum cancellatum","Animalia","Black-tailed Skimmer",1,22.8098206222,54.2252522757,"Poland",NA,2014-07-14,12:15:00
"14",14,"98481476@OBS","Speyeria aglaja","Animalia","Dark Green Fritillary",1,22.8098206222,54.2252522757,"Poland",NA,2014-07-14,11:59:00
"15",15,"98481304@OBS","Thymelicus sylvestris","Animalia","Small Skipper",1,22.8105930984,54.2240480189,"Poland",NA,2014-07-14,12:11:00
"16",16,"98481217@OBS","Lycaena virgaureae","Animalia","Scarce Copper",1,22.8,54.2,"Poland",NA,2014-07-14,12:07:00
"17",17,"98481195@OBS","Coenonympha glycerion","Animalia","Chestnut Heath",2,22.8,54.2,"Poland",NA,2014-07-14,12:04:00
"18",18,"98481095@OBS","Coenonympha arcania","Animalia","Pearly Heath",1,22.8,54.2,"Poland",NA,2014-07-14,12:30:00
"19",19,"98480958@OBS","Fabriciana adippe","Animalia","High Brown Fritillary",1,22.8105930984,54.2240480189,"Poland",NA,2014-07-14,12:02:00
"20",20,"98480802@OBS","Orthetrum cancellatum","Animalia","Black-tailed Skimmer",1,22.8105930984,54.2240480189,"Poland",NA,2014-07-14,12:01:00
"21",21,"98480660@OBS","Aphantopus hyperantus","Animalia","Ringlet",1,22.8113333881,54.222843727,"Poland",NA,2014-07-14,12:00:00
"22",22,"98480627@OBS","Cygnus olor","Animalia","Mute Swan",10,22.8106789291,54.2227935474,"Poland",NA,2014-07-14,11:34:00
"23",23,"98480594@OBS","Speyeria aglaja","Animalia","Dark Green Fritillary",1,22.8114943206,54.2227935474,"Poland",NA,2014-07-14,11:33:00
"24",24,"98480565@OBS","Pieris napi","Animalia","Green-veined White",1,22.8114943206,54.2227935474,"Poland",NA,2014-07-14,11:08:00
"25",25,"98477023@OBS","Grus grus","Animalia","Common Crane",2,18.7557981535792,50.4581191898836,"Poland",NA,2015-03-06,18:40:00
"26",26,"98466101@OBS","Corvus cornix","Animalia","Hooded Crow",2,20.9673786155,52.1728473551,"Poland",NA,2015-03-06,12:20:00
"27",27,"98459605@OBS","Chrysochraon dispar","Animalia","Large Golden Grasshopper",1,23.0827333778,54.0690969167,"Poland",NA,2014-07-13,18:25:00
"28",28,"98459440@OBS","Thymelicus lineola","Animalia","Essex Skipper",1,23.0637507141,54.0965498294,"Poland",NA,2014-07-13,14:44:00
"29",29,"98459375@OBS","Motacilla alba","Animalia","White Wagtail",1,23.0852010101,54.0692228321,"Poland",NA,2014-07-12,18:32:00
"30",30,"98459178@OBS","Phalacrocorax carbo sinensis","Animalia","Great Cormorant ssp sinensis",1000,21.6224965453,54.10092817,"Poland",NA,2014-07-10,12:20:00
"31",31,"98458852@OBS","Aphantopus hyperantus","Animalia","Ringlet",1,21.5751387924,53.6457696846,"Poland",NA,2014-07-09,11:42:00
"32",32,"98458820@OBS","Lycaena virgaureae","Animalia","Scarce Copper",5,21.55,53.6,"Poland",NA,2014-07-09,11:37:00
"33",33,"98458790@OBS","Polygonia c-album","Animalia","Comma Butterfly",1,21.5763618797,53.6467490814,"Poland",NA,2014-07-09,11:28:00
"34",34,"98458619@OBS","Ciconia ciconia","Animalia","White Stork",1,21.576018557,53.646087673,"Poland",NA,2014-07-09,11:39:00
"35",35,"98439380@OBS","Corvus frugilegus","Animalia","Rook",1,22.8854566815,52.9923546957,"Poland",NA,2015-03-05,NA
"36",36,"98394335@OBS","Capreolus capreolus","Animalia","European Roe Deer",10,22.8726911536,53.0305415518,"Poland",NA,2015-03-02,NA
"37",37,"98394332@OBS","Grus grus","Animalia","Common Crane",2,22.8551387778,53.0297930894,"Poland",NA,2015-03-02,NA
"38",38,"98326905@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8331,52.7024,"Poland",NA,2015-02-27,15:24:00
"39",39,"98326904@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8062,52.7102,"Poland",NA,2015-02-27,12:57:00
"40",40,"98326903@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.819,52.7075,"Poland",NA,2015-02-27,12:04:00
"41",41,"98295339@OBS","Grus grus","Animalia","Common Crane",2,22.7934265128,53.1016549771,"Poland",NA,2015-02-26,NA
"42",42,"98284330@OBS","Cygnus cygnus","Animalia","Whooper Swan",5,22.9879760725,52.9841243711,"Poland",NA,2015-02-20,NA
"43",43,"98283704@OBS","Capreolus capreolus","Animalia","European Roe Deer",10,22.9692935935,52.980262489,"Poland",NA,2015-02-26,NA
"44",44,"98283701@OBS","Alces alces","Animalia","Elk",4,22.9706668845,52.9818300209,"Poland",NA,2015-02-26,NA
"45",45,"98280402@OBS","Grus grus","Animalia","Common Crane",2,22.5751,53.2242,"Poland",NA,2015-02-24,14:19:00
"46",46,"98280401@OBS","Grus grus","Animalia","Common Crane",2,22.8094,53.065,"Poland",NA,2015-02-24,13:12:00
"47",47,"98237936@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.9064,52.7988,"Poland",NA,2015-02-23,12:21:00
"48",48,"98237935@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.7616,52.7876,"Poland",NA,2015-02-23,10:55:00
"49",49,"98220189@OBS","Papilio machaon","Animalia","Swallowtail",1,22.6007652283,53.6351542265,"Poland",NA,2008-05-10,NA
"50",50,"98220085@OBS","Hemaris tityus","Animalia","Narrow-bordered Bee Hawk-moth",1,22.6007652283,53.6351542265,"Poland",NA,2008-05-10,NA
"51",51,"98202686@OBS","Lacerta agilis","Animalia","Sand Lizard",1,22.8,53.65,"Poland",NA,2008-05-08,NA
"52",52,"98202569@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.867297224553,52.760956852,"Poland",NA,2008-05-07,NA
"53",53,"98202411@OBS","Picus canus","Animalia","Grey-headed Woodpecker",1,23.85,52.7,"Poland",NA,2008-05-06,NA
"54",54,"98202387@OBS","Sciurus vulgaris","Animalia","Eurasian Red Squirrel",1,23.8484296203,52.7055662574,"Poland",NA,2008-05-05,NA
"55",55,"98202382@OBS","Vipera berus","Animalia","Northern Viper",1,23.8,52.7,"Poland",NA,2008-05-05,NA
"56",56,"98202379@OBS","Natrix natrix","Animalia","European Grass Snake",1,23.8,52.7,"Poland",NA,2008-05-05,NA
"57",57,"98202378@OBS","Rana temporaria","Animalia","Common Frog",1,23.8484296203,52.7055662574,"Poland",NA,2008-05-05,NA
"58",58,"98202368@OBS","Pelophylax lessonae","Animalia","Pool Frog",1,23.8484296203,52.7055662574,"Poland",NA,2008-05-05,NA
"59",59,"98202365@OBS","Triturus cristatus","Animalia","Northern Crested Newt",1,23.8,52.7,"Poland",NA,2008-05-05,NA
"60",60,"98202348@OBS","Saxicola rubetra","Animalia","Whinchat",1,23.8893198967,52.7167403785,"Poland",NA,2008-05-05,NA
"61",61,"98202335@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8913798332,52.7317116345,"Poland",NA,2008-05-05,NA
"62",62,"98202332@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",1,23.8913798332,52.7317116345,"Poland",NA,2008-05-05,NA
"63",63,"98202326@OBS","Ficedula albicollis","Animalia","Collared Flycatcher",1,23.8913798332,52.7317116345,"Poland",NA,2008-05-05,NA
"64",64,"98202309@OBS","Hirundo rustica","Animalia","Barn Swallow",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-05,NA
"65",65,"98202301@OBS","Motacilla alba","Animalia","White Wagtail",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-05,NA
"66",66,"98202287@OBS","Jynx torquilla","Animalia","Eurasian Wryneck",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-05,NA
"67",67,"98202285@OBS","Parus major","Animalia","Great Tit",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-05,NA
"68",68,"98202260@OBS","Turdus philomelos","Animalia","Song Thrush",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-04,NA
"69",69,"98202255@OBS","Turdus pilaris","Animalia","Fieldfare",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-04,NA
"70",70,"98202243@OBS","Luscinia luscinia","Animalia","Thrush Nightingale",1,23.8668268919,52.7056174505,"Poland",NA,2008-05-04,NA
"71",71,"98202230@OBS","Helix pomatia","Animalia","Escargot",1,23.8599604368,52.7119616856,"Poland",NA,2008-05-04,NA
"72",72,"98202224@OBS","Hyla arborea","Animalia","Common Tree Frog",10,23.85,52.7,"Poland",NA,2008-05-04,NA
"73",73,"98167784@OBS","Picoides tridactylus","Animalia","Eurasian Three-toed Woodpecker",1,23.7469245316,52.7283506315,"Poland",NA,2015-02-20,13:30:00
"74",74,"98160017@OBS","Pyrrhula pyrrhula","Animalia","Eurasian Bullfinch",15,22.7974963184,53.1048266856,"Poland",NA,2015-02-19,NA
"75",75,"98085238@OBS","Sturnus vulgaris","Animalia","Common Starling",1,22.5844809748821,53.47962636315,"Poland",NA,2015-02-08,NA
"76",76,"98085237@OBS","Passer domesticus","Animalia","House Sparrow",1,22.5844809748821,53.47962636315,"Poland",NA,2015-02-08,NA
"77",77,"98085140@OBS","Cygnus olor","Animalia","Mute Swan",1,22.5844809748821,53.47962636315,"Poland",NA,2015-02-08,NA
"78",78,"98082702@OBS","Capreolus capreolus","Animalia","European Roe Deer",1,22.9166686533,53.031454314,"Poland",NA,2015-02-16,NA
"79",79,"98081864@OBS","Turdus pilaris","Animalia","Fieldfare",10,22.8993844977,53.0156008167,"Poland",NA,2015-02-16,NA
"80",80,"98081855@OBS","Capreolus capreolus","Animalia","European Roe Deer",15,22.9168224317,53.0221390999,"Poland",NA,2015-02-18,NA
"81",81,"97955559@OBS","Coloeus monedula","Animalia","Western Jackdaw",1,19.20161065,50.02799313,"Poland",NA,2015-02-13,11:57:00
"82",82,"97934573@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,2015-02-06,NA
"83",83,"97926903@OBS","Remiz pendulinus","Animalia","Eurasian Penduline Tit",2,22.6,53.45,"Poland",NA,2015-02-08,NA
"84",84,"97926874@OBS","Poecile montanus","Animalia","Willow Tit",1,22.5444321334,53.366737738,"Poland",NA,2015-02-07,NA
"85",85,"97926868@OBS","Poecile palustris","Animalia","Marsh Tit",1,23.8228084892,52.6902614865,"Poland",NA,2015-02-02,NA
"86",86,"97926859@OBS","Emberiza citrinella","Animalia","Yellowhammer",30,22.5932158157,53.3692282648,"Poland",NA,2015-02-06,NA
