"","X","...1","id","scientificName","kingdom","vernacularName","individualCount","longitudeDecimal","latitudeDecimal","country","stateProvince","eventDate","eventTime"
"1",1,1,"99987420@OBS","Aix galericulata","Animalia","Mandarin Duck",1,21.0356,52.2138,"Poland",NA,"2015-03-11","23:16:00"
"2",2,2,"99983635@OBS","Grus grus","Animalia","Common Crane",10,22.7926540366,53.1208293805,"Poland",NA,"2015-03-10",NA
"3",3,3,"99983630@OBS","Alces alces","Animalia","Elk",1,22.7942562099,53.1181705482,"Poland",NA,"2015-03-10",NA
"4",4,4,"99983169@OBS","Spinulum annotinum","Plantae","Interrupted Clubmoss",50,22.93,53.01,"Poland",NA,"2015-03-10",NA
"5",5,5,"98611955@OBS","Mergus merganser","Animalia","Common Merganser",2,21.0293,52.2147,"Poland",NA,"2015-03-10","15:06:00"
"6",6,6,"98611953@OBS","Sciurus vulgaris","Animalia","Eurasian Red Squirrel",4,21.0303,52.2147,"Poland",NA,"2015-03-10","15:05:00"
"7",7,7,"98611951@OBS","Corvus cornix","Animalia","Hooded Crow",2,21.0106,52.2504,"Poland",NA,"2015-03-09","12:56:00"
"8",8,8,"98601371@OBS","Aglais urticae","Animalia","Small Tortoiseshell",1,22.9287385932,53.0098379063,"Poland",NA,"2015-03-10",NA
"9",9,9,"98570200@OBS","Sarcoscypha coccinea sl, incl. austriaca","Fungi",NA,1,22.9286026954,53.0151221091,"Poland",NA,"2015-03-08",NA
"10",10,10,"98527237@OBS","Corvus cornix","Animalia","Hooded Crow",1,16.9567,52.4075,"Poland",NA,"2015-03-08","11:23:00"
"11",11,11,"98481952@OBS","Leucorrhinia caudalis","Animalia","Lilypad Whiteface",1,22.8,54.2,"Poland",NA,"2014-07-14","12:20:00"
"12",12,12,"98481620@OBS","Sympetrum sanguineum","Animalia","Ruddy Darter",1,22.8098206222,54.2252522757,"Poland",NA,"2014-07-14","12:18:00"
"13",13,13,"98481529@OBS","Orthetrum cancellatum","Animalia","Black-tailed Skimmer",1,22.8098206222,54.2252522757,"Poland",NA,"2014-07-14","12:15:00"
"14",14,14,"98481476@OBS","Speyeria aglaja","Animalia","Dark Green Fritillary",1,22.8098206222,54.2252522757,"Poland",NA,"2014-07-14","11:59:00"
"15",15,15,"98481304@OBS","Thymelicus sylvestris","Animalia","Small Skipper",1,22.8105930984,54.2240480189,"Poland",NA,"2014-07-14","12:11:00"
"16",16,16,"98481217@OBS","Lycaena virgaureae","Animalia","Scarce Copper",1,22.8,54.2,"Poland",NA,"2014-07-14","12:07:00"
"17",17,17,"98481195@OBS","Coenonympha glycerion","Animalia","Chestnut Heath",2,22.8,54.2,"Poland",NA,"2014-07-14","12:04:00"
"18",18,18,"98481095@OBS","Coenonympha arcania","Animalia","Pearly Heath",1,22.8,54.2,"Poland",NA,"2014-07-14","12:30:00"
