COUNTRY,GDP (BILLIONS),CODE,YEAR,ENERGY,CONTINENT
Albania,13.4,ALB,1990,3.3,Europe
Albania,13.4,ALB,1991,3.82,Europe
Albania,13.4,ALB,1992,3.4,Europe
Albania,13.4,ALB,1993,3.53,Europe
Albania,13.4,ALB,1994,3.94,Europe
Albania,13.4,ALB,1995,4.47,Europe
Albania,13.4,ALB,1996,5.99,Europe
Albania,13.4,ALB,1997,5.23,Europe
Albania,13.4,ALB,1998,5.11,Europe
Albania,13.4,ALB,1999,5.42,Europe
Albania,13.4,ALB,2000,4.77,Europe
Albania,13.4,ALB,2001,3.73,Europe
Albania,13.4,ALB,2002,3.74,Europe
Albania,13.4,ALB,2003,5,Europe
Albania,13.4,ALB,2004,5.61,Europe
Albania,13.4,ALB,2005,5.44,Europe
Albania,13.4,ALB,2006,5.52,Europe
Albania,13.4,ALB,2007,2.86,Europe
Albania,13.4,ALB,2008,3.8,Europe
Albania,13.4,ALB,2009,5.2,Europe
Albania,13.4,ALB,2010,7.57,Europe
Albania,13.4,ALB,2011,4.19,Europe
Albania,13.4,ALB,2012,4.72,Europe
Albania,13.4,ALB,2013,6.96,Europe
Albania,13.4,ALB,2014,4.72,Europe
Albania,13.4,ALB,2015,5.89,Europe
Albania,13.4,ALB,2016,7.78,Europe
Albania,13.4,ALB,2017,4.52,Europe
Albania,13.4,ALB,2018,8.55,Europe
Albania,13.4,ALB,2019,5.2,Europe
Albania,13.4,ALB,2020,5.31,Europe
Algeria,227.8,DZA,1985,12.274,Africa
Algeria,227.8,DZA,1986,12.981,Africa
Algeria,227.8,DZA,1987,12.722,Africa
Algeria,227.8,DZA,1988,13.966,Africa
Algeria,227.8,DZA,1989,15.324,Africa
Algeria,227.8,DZA,1990,16.104,Africa
Algeria,227.8,DZA,1991,17.345,Africa
Algeria,227.8,DZA,1992,18.286,Africa
Algeria,227.8,DZA,1993,19.414,Africa
Algeria,227.8,DZA,1994,19.883,Africa
Algeria,227.8,DZA,1995,19.715,Africa
Algeria,227.8,DZA,1996,20.654,Africa
Algeria,227.8,DZA,1997,21.497,Africa
Algeria,227.8,DZA,1998,23.262,Africa
Algeria,227.8,DZA,1999,24.757,Africa
Algeria,227.8,DZA,2000,23.89,Africa
Algeria,227.8,DZA,2001,25.03,Africa
Algeria,227.8,DZA,2002,25.99,Africa
Algeria,227.8,DZA,2003,27.81,Africa
Algeria,227.8,DZA,2004,29.39,Africa
Algeria,227.8,DZA,2005,31.91,Africa
Algeria,227.8,DZA,2006,33.13,Africa
Algeria,227.8,DZA,2007,34.98,Africa
Algeria,227.8,DZA,2008,37.83,Africa
Algeria,227.8,DZA,2009,36.21,Africa
Algeria,227.8,DZA,2010,43,Africa
Algeria,227.8,DZA,2011,48.17,Africa
Algeria,227.8,DZA,2012,53.99,Africa
Algeria,227.8,DZA,2013,56.31,Africa
Algeria,227.8,DZA,2014,60.4,Africa
Algeria,227.8,DZA,2015,64.68,Africa
Algeria,227.8,DZA,2016,66.76,Africa
Algeria,227.8,DZA,2017,71.5,Africa
Algeria,227.8,DZA,2018,72.11,Africa
Algeria,227.8,DZA,2019,76.69,Africa
Algeria,227.8,DZA,2020,72.74,Africa
Algeria,227.8,DZA,2021,77.54,Africa
Angola,131.4,AGO,2000,1.4,Africa
Angola,131.4,AGO,2001,1.59,Africa
Angola,131.4,AGO,2002,1.71,Africa
Angola,131.4,AGO,2003,1.94,Africa
Angola,131.4,AGO,2004,2.18,Africa
Angola,131.4,AGO,2005,2.73,Africa
Angola,131.4,AGO,2006,3.24,Africa
Angola,131.4,AGO,2007,3.15,Africa
Angola,131.4,AGO,2008,4.06,Africa
Angola,131.4,AGO,2009,4.6,Africa
Angola,131.4,AGO,2010,5.32,Africa
Angola,131.4,AGO,2011,5.53,Africa
Angola,131.4,AGO,2012,6.03,Africa
Angola,131.4,AGO,2013,7.97,Africa
Angola,131.4,AGO,2014,9.22,Africa
Angola,131.4,AGO,2015,9.31,Africa
Angola,131.4,AGO,2016,10.21,Africa
Angola,131.4,AGO,2017,10.67,Africa
Angola,131.4,AGO,2018,12.84,Africa
Angola,131.4,AGO,2019,15.4,Africa
Angola,131.4,AGO,2020,16.6,Africa
Angola,131.4,AGO,2021,16.43,Africa
Argentina,536.2,ARG,1985,45.303726,Americas
Argentina,536.2,ARG,1986,49.022194,Americas
Argentina,536.2,ARG,1987,52.11528,Americas
Argentina,536.2,ARG,1988,52.49952,Americas
Argentina,536.2,ARG,1989,50.862812,Americas
Argentina,536.2,ARG,1990,51.004894,Americas
Argentina,536.2,ARG,1991,53.85427,Americas
Argentina,536.2,ARG,1992,56.107098,Americas
Argentina,536.2,ARG,1993,61.86878,Americas
Argentina,536.2,ARG,1994,65.62203,Americas
Argentina,536.2,ARG,1995,67.16925,Americas
Argentina,536.2,ARG,1996,69.75982,Americas
Argentina,536.2,ARG,1997,72.46247,Americas
Argentina,536.2,ARG,1998,74.169556,Americas
Argentina,536.2,ARG,1999,80.744736,Americas
Argentina,536.2,ARG,2000,85.25,Americas
Argentina,536.2,ARG,2001,86.49,Americas
Argentina,536.2,ARG,2002,81.15,Americas
Argentina,536.2,ARG,2003,88.14,Americas
Argentina,536.2,ARG,2004,95.69,Americas
Argentina,536.2,ARG,2005,100.86,Americas
Argentina,536.2,ARG,2006,111.4,Americas
Argentina,536.2,ARG,2007,110.85,Americas
Argentina,536.2,ARG,2008,114.75,Americas
Argentina,536.2,ARG,2009,116.3,Americas
Argentina,536.2,ARG,2010,119.64,Americas
Argentina,536.2,ARG,2011,122.75,Americas
Argentina,536.2,ARG,2012,128.69,Americas
Argentina,536.2,ARG,2013,132.31,Americas
Argentina,536.2,ARG,2014,131.81,Americas
Argentina,536.2,ARG,2015,137.79,Americas
Argentina,536.2,ARG,2016,139.64,Americas
Argentina,536.2,ARG,2017,138.57,Americas
Argentina,536.2,ARG,2018,139.79,Americas
Argentina,536.2,ARG,2019,133.16,Americas
Argentina,536.2,ARG,2020,138.69,Americas
Argentina,536.2,ARG,2021,146.68,Americas
Armenia,10.88,ARM,2000,5.62,Asia
Armenia,10.88,ARM,2001,5.57,Asia
Armenia,10.88,ARM,2002,5.21,Asia
Armenia,10.88,ARM,2003,5.21,Asia
Armenia,10.88,ARM,2004,5.9,Asia
Armenia,10.88,ARM,2005,5.97,Asia
Armenia,10.88,ARM,2006,5.62,Asia
Armenia,10.88,ARM,2007,5.58,Asia
Armenia,10.88,ARM,2008,5.47,Asia
Armenia,10.88,ARM,2009,5.37,Asia
Armenia,10.88,ARM,2010,6.18,Asia
Armenia,10.88,ARM,2011,7.07,Asia
Armenia,10.88,ARM,2012,7.61,Asia
Armenia,10.88,ARM,2013,7.3,Asia
Armenia,10.88,ARM,2014,7.33,Asia
Armenia,10.88,ARM,2015,7.38,Asia
Armenia,10.88,ARM,2016,6.95,Asia
Armenia,10.88,ARM,2017,7.36,Asia
Armenia,10.88,ARM,2018,7.38,Asia
Armenia,10.88,ARM,2019,7.3,Asia
Armenia,10.88,ARM,2020,7.45,Asia
Armenia,10.88,ARM,2021,7.32,Asia
Australia,1483,AUS,1985,123.673,Oceania
Australia,1483,AUS,1986,129.527,Oceania
Australia,1483,AUS,1987,135.815,Oceania
Australia,1483,AUS,1988,143.374,Oceania
Australia,1483,AUS,1989,151.433,Oceania
Australia,1483,AUS,1990,155.6535,Oceania
Australia,1483,AUS,1991,157.9635,Oceania
Australia,1483,AUS,1992,161.4005,Oceania
Australia,1483,AUS,1993,165.3825,Oceania
Australia,1483,AUS,1994,170.1425,Oceania
Australia,1483,AUS,1995,175.2245,Oceania
Australia,1483,AUS,1996,180.127,Oceania
Australia,1483,AUS,1997,188.9795,Oceania
Australia,1483,AUS,1998,199.471,Oceania
Australia,1483,AUS,1999,206.8995,Oceania
Australia,1483,AUS,2000,198.16,Oceania
Australia,1483,AUS,2001,211.73,Oceania
Australia,1483,AUS,2002,214.64,Oceania
Australia,1483,AUS,2003,213.63,Oceania
Australia,1483,AUS,2004,223.07,Oceania
Australia,1483,AUS,2005,215.7,Oceania
Australia,1483,AUS,2006,219.91,Oceania
Australia,1483,AUS,2007,229.52,Oceania
Australia,1483,AUS,2008,229.55,Oceania
Australia,1483,AUS,2009,234.74,Oceania
Australia,1483,AUS,2010,233.63,Oceania
Australia,1483,AUS,2011,240.89,Oceania
Australia,1483,AUS,2012,233.38,Oceania
Australia,1483,AUS,2013,229.98,Oceania
Australia,1483,AUS,2014,241.61,Oceania
Australia,1483,AUS,2015,230.84,Oceania
Australia,1483,AUS,2016,246.07,Oceania
Australia,1483,AUS,2017,249.91,Oceania
Australia,1483,AUS,2018,250.38,Oceania
Australia,1483,AUS,2019,249.86,Oceania
Australia,1483,AUS,2020,250.91,Oceania
Australia,1483,AUS,2021,247.06,Oceania
Austria,436.1,AUT,1985,43.742,Europe
Austria,436.1,AUT,1986,43.977,Europe
Austria,436.1,AUT,1987,49.688,Europe
Austria,436.1,AUT,1988,48.149,Europe
Austria,436.1,AUT,1989,49.155,Europe
Austria,436.1,AUT,1990,49.3,Europe
Austria,436.1,AUT,1991,50.18,Europe
Austria,436.1,AUT,1992,49.95,Europe
Austria,436.1,AUT,1993,51.37,Europe
Austria,436.1,AUT,1994,52.11,Europe
Austria,436.1,AUT,1995,55.18,Europe
Austria,436.1,AUT,1996,53.57,Europe
Austria,436.1,AUT,1997,55.68,Europe
Austria,436.1,AUT,1998,55.92,Europe
Austria,436.1,AUT,1999,59.92,Europe
Austria,436.1,AUT,2000,59.85,Europe
Austria,436.1,AUT,2001,61.06,Europe
Austria,436.1,AUT,2002,60.69,Europe
Austria,436.1,AUT,2003,58.06,Europe
Austria,436.1,AUT,2004,61.93,Europe
Austria,436.1,AUT,2005,64.49,Europe
Austria,436.1,AUT,2006,62.28,Europe
Austria,436.1,AUT,2007,62.91,Europe
Austria,436.1,AUT,2008,64.5,Europe
Austria,436.1,AUT,2009,66.3,Europe
Austria,436.1,AUT,2010,67.91,Europe
Austria,436.1,AUT,2011,62.26,Europe
Austria,436.1,AUT,2012,68.7,Europe
Austria,436.1,AUT,2013,64.59,Europe
Austria,436.1,AUT,2014,61.62,Europe
Austria,436.1,AUT,2015,61.85,Europe
Austria,436.1,AUT,2016,65.25,Europe
Austria,436.1,AUT,2017,67.42,Europe
Austria,436.1,AUT,2018,65.04,Europe
Austria,436.1,AUT,2019,70.86,Europe
Austria,436.1,AUT,2020,69.14,Europe
Austria,436.1,AUT,2021,65.93,Europe
Azerbaijan,77.91,AZE,1985,20.702,Asia
Azerbaijan,77.91,AZE,1986,21.542,Asia
Azerbaijan,77.91,AZE,1987,22.909,Asia
Azerbaijan,77.91,AZE,1988,23.572,Asia
Azerbaijan,77.91,AZE,1989,23.3,Asia
Azerbaijan,77.91,AZE,1990,23.152,Asia
Azerbaijan,77.91,AZE,1991,23.4495,Asia
Azerbaijan,77.91,AZE,1992,19.7626,Asia
Azerbaijan,77.91,AZE,1993,19.051,Asia
Azerbaijan,77.91,AZE,1994,17.571,Asia
Azerbaijan,77.91,AZE,1995,17.044,Asia
Azerbaijan,77.91,AZE,1996,17.085,Asia
Azerbaijan,77.91,AZE,1997,16.836,Asia
Azerbaijan,77.91,AZE,1998,17.995,Asia
Azerbaijan,77.91,AZE,1999,18.176,Asia
Azerbaijan,77.91,AZE,2000,17.65,Asia
Azerbaijan,77.91,AZE,2001,17.9,Asia
Azerbaijan,77.91,AZE,2002,18.47,Asia
Azerbaijan,77.91,AZE,2003,20.13,Asia
Azerbaijan,77.91,AZE,2004,20.49,Asia
Azerbaijan,77.91,AZE,2005,20.1,Asia
Azerbaijan,77.91,AZE,2006,22.32,Asia
Azerbaijan,77.91,AZE,2007,20.65,Asia
Azerbaijan,77.91,AZE,2008,20.45,Asia
Azerbaijan,77.91,AZE,2009,17.86,Asia
