"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
59.86867,30.22017,"Cargo",". PRINCE OF WAVES",2016-12-14 11:01:04,120,2363,"Cargo . PRINCE OF WAVES",NA,NA,"arrival"
59.86983,30.21433,"Cargo",". PRINCE OF WAVES",2016-12-14 10:59:05,118,2364,"Cargo . PRINCE OF WAVES",350.956493889483,119,"departure"
59.91917,30.01335,"Cargo","AALDERDIJK",2016-12-20 08:53:04,119,25492,"Cargo AALDERDIJK",NA,NA,"arrival"
59.91565,30.0305,"Cargo","AALDERDIJK",2016-12-20 08:51:04,119,25493,"Cargo AALDERDIJK",1034.0645789009,120,"departure"
55.71969,20.8096,"Cargo","ADAMAS",2016-12-14 22:57:06,NA,34029,"Cargo ADAMAS",NA,NA,"arrival"
55.72534,20.85354,"Cargo","ADAMAS",2016-12-14 22:55:06,120,34030,"Cargo ADAMAS",2825.71735188401,120,"departure"
59.91283,30.04498,"Cargo","ADASTRA",2016-12-20 10:25:03,120,34290,"Cargo ADASTRA",NA,NA,"arrival"
59.90572,30.08003,"Cargo","ADASTRA",2016-12-20 10:17:04,479,34291,"Cargo ADASTRA",2110.27201085269,479,"departure"
55.7167,21.10772,"Cargo","ADELE",2016-12-15 05:25:07,119,38343,"Cargo ADELE",NA,NA,"arrival"
55.72617,21.08768,"Cargo","ADELE",2016-12-15 05:19:06,361,38344,"Cargo ADELE",1640.11914332526,361,"departure"
57.6565,11.75017,"Cargo","ADELINA D",2016-12-15 16:05:06,120,38390,"Cargo ADELINA D",NA,NA,"arrival"
57.6635,11.77983,"Cargo","ADELINA D",2016-12-15 16:03:05,121,38391,"Cargo ADELINA D",1930.49406858018,121,"departure"
55.73155,20.86157,"Cargo","AFRICAN CENDANA",2016-12-17 08:05:06,120,40895,"Cargo AFRICAN CENDANA",NA,NA,"arrival"
55.73175,20.84616,"Cargo","AFRICAN CENDANA",2016-12-17 08:03:06,120,40896,"Cargo AFRICAN CENDANA",966.164973735507,120,"departure"
55.73736,20.80092,"Cargo","AFRICAN GROUSE",2016-12-17 02:35:06,120,42066,"Cargo AFRICAN GROUSE",NA,NA,"arrival"
55.11497,19.95943,"Cargo","AFRICAN GROUSE",2016-12-16 19:15:03,26403,42067,"Cargo AFRICAN GROUSE",87325.4411972053,26403,"departure"
54.68866,20.21182,"Cargo","AFRICAN MAGNOLIA",2016-12-17 13:39:03,240,46200,"Cargo AFRICAN MAGNOLIA",NA,NA,"arrival"
54.68829,20.21381,"Cargo","AFRICAN MAGNOLIA",2016-12-17 13:31:02,481,46201,"Cargo AFRICAN MAGNOLIA",134.508117262268,481,"departure"
54.36469,18.66545,"Cargo","AGNETHE ARCTICA",2016-12-18 10:35:02,120,60162,"Cargo AGNETHE ARCTICA",NA,NA,"arrival"
54.36948,18.665,"Cargo","AGNETHE ARCTICA",2016-12-18 10:31:01,241,60163,"Cargo AGNETHE ARCTICA",534.018414156479,241,"departure"
55.71589,21.10918,"Cargo","AGOT",2016-12-20 06:39:06,120,63598,"Cargo AGOT",NA,NA,"arrival"
55.7237,21.09678,"Cargo","AGOT",2016-12-20 06:33:06,360,63599,"Cargo AGOT",1166.33356462175,360,"departure"
54.66873,19.80998,"Cargo","AKACIA",2016-12-16 11:41:02,121,68737,"Cargo AKACIA",NA,NA,"arrival"
54.46332,18.9992,"Cargo","AKACIA",2016-12-16 08:11:02,12600,68738,"Cargo AKACIA",57104.5007866035,12600,"departure"
54.65045,19.86151,"Cargo","AKERDIJK",2016-12-20 11:07:04,238,70873,"Cargo AKERDIJK",NA,NA,"arrival"
54.65897,19.83891,"Cargo","AKERDIJK",2016-12-20 11:01:03,361,70874,"Cargo AKERDIJK",1737.16911465824,361,"departure"
55.8785,20.8175,"Cargo","ALANA",2016-12-19 10:31:06,117,77021,"Cargo ALANA",NA,NA,"arrival"
55.86231,20.83628,"Cargo","ALANA",2016-12-19 10:29:05,118,77022,"Cargo ALANA",2150.34253114589,121,"departure"
54.5491,18.98915,"Cargo","ALANA EVITA",2016-12-17 19:45:01,120,82940,"Cargo ALANA EVITA",NA,NA,"arrival"
54.66463,19.82511,"Cargo","ALANA EVITA",2016-12-17 16:43:03,10918,82941,"Cargo ALANA EVITA",55410.7859551471,10918,"departure"
54.66798,18.93716,"Cargo","ALEXANDER B",2016-12-14 11:13:01,121,92058,"Cargo ALEXANDER B",NA,NA,"arrival"
54.68479,18.95132,"Cargo","ALEXANDER B",2016-12-14 11:11:01,120,92059,"Cargo ALEXANDER B",2081.42673970629,120,"departure"
59.91301,30.04308,"Cargo","ALLEGRA",2016-12-16 21:43:06,119,92967,"Cargo ALLEGRA",NA,NA,"arrival"
59.90941,30.06115,"Cargo","ALLEGRA",2016-12-16 21:41:07,118,92968,"Cargo ALLEGRA",1085.17852610502,119,"departure"
59.91543,30.03198,"Cargo","ALMENDRO",2016-12-20 08:57:04,119,94755,"Cargo ALMENDRO",NA,NA,"arrival"
59.91223,30.0483,"Cargo","ALMENDRO",2016-12-20 08:55:04,119,94756,"Cargo ALMENDRO",977.920028018804,120,"departure"
57.60223,11.78932,"Cargo","AMANDA",2016-12-19 06:11:05,121,120032,"Cargo AMANDA",NA,NA,"arrival"
57.99846,11.75718,"Cargo","AMANDA",2016-12-18 15:25:04,53161,120033,"Cargo AMANDA",44149.3043213357,53161,"departure"
55.70917,21.1208,"Cargo","AMATHUS",2016-12-15 09:39:07,121,121630,"Cargo AMATHUS",NA,NA,"arrival"
55.7091,21.12082,"Cargo","AMATHUS",2016-12-15 09:33:07,360,121631,"Cargo AMATHUS",7.892673790227,360,"departure"
